date,user_name,text
2009-08-29 16:23:00,realDonaldTrump,- Donald Trump bids to buy the Oreo Double Stuf Racing League. Check it out: http://www.nabiscoworld.com/oreo/dsrl/home.aspx
2009-09-01 13:55:00,realDonaldTrump,"""- More hysterical DSRL videos featuring Donald Trump and """"Double Trump"""" plus enter Golden Lick Race Sweepstakes: http://tinyurl.com/6asujj"""
2009-09-14 15:50:00,realDonaldTrump,Read Donald Trump's Top Ten Tips for Success: http://tinyurl.com/mcn8yl
2009-09-29 15:28:00,realDonaldTrump,"""""""A lot of people have imagination, but can't execute--you have to execute with the imagination."""" --Donald J. Trump http://tinyurl.com/pqpfvm"""
2009-10-05 14:37:00,realDonaldTrump,"- Read what Donald Trump has to say about daughter Ivanka's upcoming new book, The Trump Card: http://tinyurl.com/ycsqmda"
2009-10-14 14:13:00,realDonaldTrump,Watch video of Ivanka Trump sharing business advice with 4 entrepreneurial women on GMA: http://tinyurl.com/yk6hlfo
2009-10-22 13:57:00,realDonaldTrump,"Hear Donald Trump discuss big gov spending, banks, & taxes on Your World w/Neil Cavuto: http://tinyurl.com/yhnzd7p"
2009-10-27 15:31:00,realDonaldTrump,"""--From Donald Trump: """"Ivanka and Jared’s wedding was spectacular, and they make a beautiful couple. I’m a very proud father."""""""
2009-11-02 14:57:00,realDonaldTrump,#NAME?
2009-11-16 21:06:00,realDonaldTrump,"Donald Trump Partners with TV1 on New Reality Series Entitled, Omarosa's Ultimate Merger: http://tinyurl.com/yk5m3lc"
2009-11-26 19:55:00,realDonaldTrump,Wishing you and yours a very Happy and Bountiful Thanksgiving!
2009-12-03 19:39:00,realDonaldTrump,Trump International Tower in Chicago ranked 6th tallest building in world by Council on Tall Buildings & Urban Habitat http://bit.ly/sqvQq
2009-12-23 17:38:00,realDonaldTrump,"From Donald Trump: Wishing everyone a wonderful holiday & a happy, healthy, prosperous New Year. Let’s think like champions in 2010!"
2010-01-12 18:05:00,realDonaldTrump,"Celebrity Apprentice returns to NBC, Sunday, 3/14, 9-11PM ET/PT. Outstanding list of celebrities & season should be the best one yet!"
2010-01-15 16:28:00,realDonaldTrump,Trump Tycoon App for iPhone & iPod Touch - It's $2.99 but the advice is priceless! http://bit.ly/UGUF0
2010-01-21 16:58:00,realDonaldTrump,"""from Donald Trump: """"I saw Lady Gaga last night and she was fantastic!"""""""
2010-01-22 20:51:00,realDonaldTrump,"Golf Channel & Donald Trump's World of Golf host a Celebrity Match 1/25 @ TNGC LA, CA - Mark Wahlberg vs. Kevin Dillon http://bit.ly/4MubN6"
2010-02-07 16:54:00,realDonaldTrump,"Superbowl Sunday is a great American tradition. The Colts and Saints are already champions, but may the best team win!"
2010-02-10 15:17:00,realDonaldTrump,Donald Trump appearing today on CNN International’s ‘Connect the World’ as ‘Connector of the Day’. Submit questions: http://bit.ly/bPiP7T
2010-02-11 19:57:00,realDonaldTrump,Donald Trump appeared on the final episode of The Jay Leno Show to deliver a very special message: http://bit.ly/cv1En7
2010-02-26 21:18:00,realDonaldTrump,"From Donald Trump: “I’m so proud of my wife Melania and the launch of her new jewelry line, to debut on QVC on April 30th at 9 p.m.”"
2010-03-05 14:51:00,realDonaldTrump,From Donald Trump: Andrea Bocelli @ Mar-a-Lago - Many say best night of entertainment in long history of Palm Beach http://bit.ly/2fNgOz
2010-03-12 20:30:00,realDonaldTrump,"The Celebrity Apprentice has a two-hour premiere this Sunday, March 14th, at 9 p.m. on NBC. This will be the best season yet, see you then!"
2010-03-15 18:21:00,realDonaldTrump,The new season of the Celebrity Apprentice is off to a great start-- last night it swept the 10 p.m. hour in every key demographic.
2010-03-17 15:14:00,realDonaldTrump,Olympic Gold  Medalist Evan Lysacek just left my office. He is in town and wanted to meet me--he's a fanastic guy and a true champion.
2010-03-18 18:17:00,realDonaldTrump,I am happy to announce that theoriginal Apprentice --which will offer job opportunities to those in need--is coming back.
2010-03-19 14:08:00,realDonaldTrump,Last week's episode of the Celebrity Apprentice set the stage for a great new season. Tune in this Sunday on NBC for even more excitement.
2010-03-23 16:26:00,realDonaldTrump,"The Trump Hotel Collection is currently nominated for Conde Nast Traveler Readers Choice Awards, Travel & Leisure and World Travel Awards."
2010-03-24 17:13:00,realDonaldTrump,The original Apprentice is coming back--do you have what it takes to be the next Apprentice? For casting details: http://tinyurl.com/yly2c8u
2010-03-29 19:31:00,realDonaldTrump,"The NYC casting call for The Apprentice is thisThursday, April 1 at Trump Tower. For all the information you need, go to NBC.com/casting."
2010-03-31 13:41:00,realDonaldTrump,Don't forget the open call at Trump Tower tomorrow for The Apprentice. I look forward to seeing you there.
2010-04-01 18:51:00,realDonaldTrump,"Today's open call drew thousands of  eager applicants. It was an impressive group,  I enjoyed meeting them. We've got some great candidates!"
2010-04-06 13:33:00,realDonaldTrump,"Last night Melania and I attended the Skating with the Stars Gala at Wollman Rink in Central Park, it was fantastic. Stay tuned for Part 2.."
2010-04-06 14:34:00,realDonaldTrump,"Then we attended the Scottish fashion show that benefits veterans, Dressed to Kilt 2010, which I co-hosted with Sir Sean and Lady Connery."
2010-04-06 18:08:00,realDonaldTrump,"My bestselling book from last April, Think Like a Champion, is now available in paperback. It's inspiring, entertaining, and a great read."
2010-04-07 19:23:00,realDonaldTrump,Trump SoHo opens this Friday and it is fantastic! Check out the Trump Hotel Collection...http://www.trump.com/
2010-04-09 16:36:00,realDonaldTrump,This is a terrific day for downtown New York. Trump SoHo is unlike anything else. Be sure to visit this fantastic hotel soon!
2010-04-12 17:37:00,realDonaldTrump,"""The premiere of """"Donald J. Trump's Fabulous World of Golf"""" is tomorrow night at 9 p.m.ET on Golf Channel. Tune in for a great adventure!"""
2010-04-13 13:49:00,realDonaldTrump,Looking forward to seeing the World Champion Yankees today on opening day!
2010-04-14 20:49:00,realDonaldTrump,"""""""Before Kids Can Go Places, They Need a Place To Go"""" -- the motto of The Police Athletic League, an organization I'm  very proud to support"""
2010-04-16 15:55:00,realDonaldTrump,"On Sunday, Jerome Bettis 'the bus' from the Pittsburgh Steelers will play at Trump Int'l Golf Club/Palm Beach against Julius Erving 'Dr J'"
2010-04-20 20:12:00,realDonaldTrump,Tune in to The Marriage Ref onThursday night at 10 p.m. on NBC--I'm on the panel of experts along with Gloria Estefan & Adam Carolla.
2010-04-21 14:43:00,realDonaldTrump,Melania and I saw American Idiot on Broadway last night and it was great. An amazing  theatrical experience!
2010-04-22 14:31:00,realDonaldTrump,Melania and I will be appearing on The View tomorrow at 11 a.m. on CBS. Tune in for some great fun!
2010-04-23 15:22:00,realDonaldTrump,"To put on your calendar for May: Miss USA 2010, live from Las Vegas on May 16th, 7 p.m. ET on NBC. I'll be there--tune in for a great show!"
2010-04-26 13:58:00,realDonaldTrump,Our thoughts and prayers remain with Bret Michaels and his family and for his speedy recovery.
2010-04-28 14:13:00,realDonaldTrump,"Melania and I will be appearing on Larry King Live tonight, 9 p.m. on CNN. Be sure to tune in for some great conversation!"
2010-04-29 15:22:00,realDonaldTrump,Melania will be on QVC tomorrow night at 9 p.m. ET to introduce her beautiful and inspiring Melania Timepieces & Fashion Jewelry collection.
2010-04-30 15:53:00,realDonaldTrump,Be sure to look for my beautiful wife Melania Trump tonight on QVC at 9 pm ET where she will be debuting her fantastic jewelry collection.
2010-05-03 16:35:00,realDonaldTrump,"Looking forward to the 2010 Miss USA Pageant, Sunday May 16 on NBC, 7 p.m. ET,  hosted by Curtis Stone and Natalie Morales."
2010-05-03 16:38:00,realDonaldTrump,Also appearing on the Miss USA Pageant will be Country Superstar Trace Adkins and Pop Rock Sensation Boys Like Girls...
